idx,title,etc,description,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
489,Solaris,Drama Mystery Sci-Fi,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,10,0.121788,0.668629,0.096767,0.105381,0.065203,https://whatdoido.kro.kr/movie/489.jpg
490,Lucky Number Slevin,Crime Drama Thriller,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",8,0.05052,0.420624,0.227497,0.144634,0.210862,https://whatdoido.kro.kr/movie/490.jpg
491,The Fall,Adventure Drama Fantasy,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",10,0.096382,0.730709,0.0298,0.01412,0.038376,https://whatdoido.kro.kr/movie/491.jpg
492,Rio Bravo,Action Drama Western,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",10,0.673814,0.623596,0.033468,0.680981,0.693277,https://whatdoido.kro.kr/movie/492.jpg
493,21 Grams,Crime Drama Thriller,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",5,0.63639,0.23612,0.121966,0.094896,0.044179,https://whatdoido.kro.kr/movie/493.jpg
494,Badlands,Action Crime Drama,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,9,0.572642,0.604529,0.480903,0.133577,0.167393,https://whatdoido.kro.kr/movie/494.jpg
495,Ed Wood,Biography Comedy Drama,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",10,0.19479,0.671157,0.086595,0.094336,0.111146,https://whatdoido.kro.kr/movie/495.jpg
496,Klaus,Animation Adventure Comedy,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",9,0.001693,0.978141,0.003132,0.007983,0.006168,https://whatdoido.kro.kr/movie/496.jpg
497,Flipped,Comedy Drama Romance,Two eighth-graders start to have feelings for each other despite being total opposites.,10,0.051235,0.88653,0.015113,0.004596,0.022196,https://whatdoido.kro.kr/movie/497.jpg
498,Before Midnight,Drama Romance,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,1,0.598927,0.079222,0.046378,0.224064,0.329369,https://whatdoido.kro.kr/movie/498.jpg
499,Andhadhun,Crime Drama Music,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",6,0.15023,0.516599,0.13165,0.112514,0.105529,https://whatdoido.kro.kr/movie/499.jpg
500,The Artist,Comedy Drama Romance,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,9,0.092305,0.696399,0.073648,0.084571,0.044549,https://whatdoido.kro.kr/movie/500.jpg
501,All the President's Men,Biography Drama History,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",8,0.227703,0.409229,0.277028,0.123913,0.032044,https://whatdoido.kro.kr/movie/501.jpg
